EmployeeNumber,Age,Gender,MaritalStatus_Single,MaritalStatus_Married,OverTime,Attrition,MonthlyIncome,JobLevel,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,PerformanceRating,SatisfactionIndex,IncomePerJobLevel,AttritionRiskScore,RiskBand
1,41,0,True,False,1,1,5993,2,8,6,0,2,4,1,3,2.0,2996.5,0.741823108263446,High
2,49,1,False,True,0,0,5130,2,10,10,1,3,2,3,4,3.0,2565.0,0.01966581146779004,Low
4,37,1,True,False,1,1,2090,1,7,0,0,4,3,3,3,3.0,2090.0,0.5775026350871075,Medium
5,33,0,False,True,1,0,2909,1,8,8,3,4,3,3,3,3.25,2909.0,0.08471005452759515,Low
7,27,1,False,True,0,0,3468,1,6,2,2,1,2,3,3,2.5,3468.0,0.4030788563116893,Medium
8,32,1,True,False,0,0,3068,1,8,7,3,4,4,2,3,3.25,3068.0,0.09169474280027244,Low
10,59,0,False,True,1,0,2670,1,12,1,0,3,1,2,4,1.75,2670.0,0.09948322769902469,Low
11,30,1,False,False,0,0,2693,1,1,1,0,4,3,3,4,3.0,2693.0,0.13036275471052958,Low
12,38,1,True,False,0,0,9526,3,10,9,1,4,3,3,4,3.0,3175.3333333333335,0.10138741375434199,Low
13,36,1,False,True,0,0,5237,2,17,7,7,3,3,2,3,2.5,2618.5,0.030406875792279946,Low
14,35,1,False,True,0,0,2426,1,6,5,0,1,2,3,3,2.25,2426.0,0.05992173871398731,Low
15,29,0,True,False,1,0,4193,2,10,9,0,4,3,3,3,3.5,2096.5,0.32574014200185153,Medium
16,31,1,False,False,0,0,2911,1,5,5,4,1,3,2,3,2.5,2911.0,0.17580670359082454,Low
18,34,1,False,False,0,0,2661,1,3,2,1,2,4,3,3,3.0,2661.0,0.07694931163311113,Low
19,28,1,True,False,1,1,2028,1,6,4,0,3,3,3,3,2.75,2028.0,0.9321891289412506,High
20,29,0,False,False,0,0,9980,3,10,10,8,2,1,3,3,2.25,3326.6666666666665,0.04557893746948131,Low
21,32,1,False,False,1,0,3298,1,7,6,0,1,2,2,3,2.25,3298.0,0.0449012033189376,Low
22,22,1,False,False,1,0,2935,1,1,1,0,4,4,2,3,3.0,2935.0,0.09023912728633543,Low
23,53,0,False,True,0,0,15427,4,31,25,3,1,4,3,3,2.75,3856.75,0.005579148571810569,Low
24,38,1,True,False,1,0,3944,1,6,3,1,4,4,3,3,3.5,3944.0,0.12138938516960773,Low
26,24,0,False,False,0,0,4011,2,5,4,1,1,3,2,3,2.5,2005.5,0.0020041728079712596,Low
27,36,1,True,False,0,1,3407,1,10,5,0,3,1,3,4,2.25,3407.0,0.42997045167676656,Medium
28,34,0,True,False,0,0,11994,3,13,12,2,1,2,3,3,2.25,3998.0,0.0045518311681133905,Low
30,21,1,True,False,0,0,1232,1,0,0,0,3,4,3,3,3.5,1232.0,0.1499516206146325,Low
31,34,1,True,False,0,1,2960,1,8,4,1,2,1,3,3,2.25,2960.0,0.1332177822665907,Low
32,53,0,False,False,0,0,19094,5,26,14,4,3,3,2,3,3.0,3818.8,0.0014014483643177496,Low
33,32,0,True,False,1,1,3919,1,10,10,6,2,1,3,4,2.0,3919.0,0.7895597306717668,High
35,42,1,False,True,0,0,6825,2,10,9,4,3,2,3,3,3.0,3412.5,0.034630535982701285,Low
36,44,0,False,True,0,0,10248,3,24,22,5,1,4,3,3,3.0,3416.0,0.003391835220017548,Low
38,46,0,True,False,0,0,18947,5,22,2,2,2,1,2,3,2.25,3789.4,0.1547416026955904,Low
39,33,1,True,False,0,0,2496,1,7,1,0,3,4,3,3,3.5,2496.0,0.1137681835677648,Low
40,44,1,False,True,1,0,6465,2,9,4,1,4,4,4,3,4.0,3232.5,0.003831735722110597,Low
41,30,1,True,False,0,0,2206,1,10,10,1,4,3,3,3,2.75,2206.0,0.1658155520981419,Low
42,39,1,False,True,0,1,2086,2,19,1,0,4,4,4,3,3.75,1043.0,0.011576823802096995,Low
45,24,1,False,True,1,1,2293,1,6,2,2,2,4,2,3,2.25,2293.0,0.3977436490458547,Medium
46,43,0,False,False,0,0,2645,1,6,5,1,4,3,2,3,3.25,2645.0,0.0010224465893584299,Low
47,50,1,False,True,1,1,2683,1,3,3,0,1,3,3,3,2.5,2683.0,0.6208758476288985,High
49,35,0,False,True,0,0,2014,1,2,2,2,4,4,3,3,3.0,2014.0,0.09353779040127148,Low
51,36,0,False,True,1,0,3419,1,6,1,0,2,1,4,3,2.75,3419.0,0.4080739779829613,Medium
52,33,0,False,True,0,0,5376,2,10,5,1,3,1,3,3,2.0,2688.0,0.04490115210971835,Low
53,35,1,False,False,0,0,1951,1,1,1,0,3,4,3,3,3.25,1951.0,0.03523203185399889,Low
54,27,0,False,False,0,0,2341,1,1,1,0,4,1,3,3,3.0,2341.0,0.03684539393493009,Low
55,26,1,True,False,0,1,2293,1,1,1,0,1,3,2,3,2.25,2293.0,0.9059223286343288,High
56,27,1,True,False,0,0,8726,3,9,9,1,4,3,3,3,3.5,2908.6666666666665,0.0893784117970973,Low
57,30,0,True,False,0,0,4011,2,12,12,3,3,4,3,4,3.5,2005.5,0.051572947621403034,Low
58,41,0,False,True,0,1,19545,5,23,22,15,2,3,3,3,3.0,3909.0,0.020088376222967084,Low
60,34,1,True,False,0,0,4568,2,10,9,8,2,3,3,4,2.75,2284.0,0.0997780334599498,Low
61,37,1,False,True,0,0,3022,1,8,1,0,2,2,3,4,2.0,3022.0,0.2845566089385698,Low
62,46,1,True,False,1,0,5772,2,14,9,0,1,4,3,4,2.75,2886.0,0.26749364505038864,Low
63,35,1,False,True,0,0,2269,1,1,1,0,4,4,3,3,3.75,2269.0,0.028428646927039593,Low
64,48,1,True,False,1,1,5381,3,23,1,0,1,3,3,3,2.75,1793.6666666666667,0.6732312096346539,High
65,28,1,True,False,1,1,3441,1,2,2,2,3,3,2,3,2.75,3441.0,0.6726369626892224,High
68,44,0,False,False,1,0,5454,2,9,4,1,2,1,2,4,2.0,2727.0,0.30842073347482124,Medium
70,35,1,False,True,1,0,9884,3,10,4,2,3,1,3,3,2.5,3294.6666666666665,0.09814252189159171,Low
72,26,0,False,True,1,0,4157,2,5,2,0,3,4,2,3,3.0,2078.5,0.7363756879907264,High
73,33,0,True,False,1,0,13458,3,15,15,8,1,4,3,3,2.75,4486.0,0.06101035709156931,Low
74,35,1,False,True,0,0,9069,3,9,9,1,2,1,2,4,2.25,3023.0,0.14148400283239063,Low
75,35,0,False,True,1,0,4014,1,4,2,2,3,1,3,3,2.5,4014.0,0.5085816742107827,Medium
76,31,1,False,False,0,0,5915,2,10,7,1,4,4,2,4,3.5,2957.5,0.01480918180388059,Low
77,37,1,False,False,0,0,5993,2,7,7,0,1,3,4,3,2.75,2996.5,0.0073077761813011765,Low
78,32,1,False,True,1,0,6162,2,9,9,7,1,4,3,4,2.5,3081.0,0.08295893004838155,Low
79,38,0,True,False,0,0,2406,2,10,10,9,4,4,3,3,3.75,1203.0,0.29562757173911236,Low
80,50,0,False,False,1,0,18740,5,29,27,13,2,3,2,3,2.75,3748.0,0.08395186096151305,Low
81,59,0,True,False,0,0,7637,3,28,21,7,1,1,2,3,2.0,2545.6666666666665,0.13177360988298648,Low
83,36,0,False,False,0,0,10096,3,17,17,12,3,3,3,3,2.75,3365.3333333333335,0.007391362472057356,Low
84,55,0,False,False,1,0,14756,4,21,5,0,4,3,3,3,3.25,3689.0,0.005669106692436102,Low
85,36,1,True,False,0,0,6499,2,6,6,0,2,2,3,3,2.5,3249.5,0.1481763756934955,Low
86,45,1,False,False,0,0,9724,3,25,1,0,2,1,3,3,2.25,3241.3333333333335,0.01437963388906719,Low
88,35,1,False,True,0,0,2194,1,5,3,1,2,1,2,3,2.25,2194.0,0.19999490349869936,Low
90,36,1,False,True,1,1,3388,1,2,1,0,4,3,2,3,2.5,3388.0,0.3433791648123685,Medium
91,59,0,True,False,0,0,5473,2,20,4,1,1,3,2,3,2.5,2736.5,0.2248943849717357,Low
94,29,1,False,True,0,0,2703,1,6,5,0,3,2,3,4,3.0,2703.0,0.0059323993801302126,Low
95,31,1,True,False,0,0,2501,1,1,1,1,3,2,3,3,2.5,2501.0,0.07172284684448141,Low
96,32,1,False,True,0,0,6220,2,10,10,0,2,2,3,3,2.25,3110.0,0.00973095309902828,Low
97,36,0,False,True,0,0,3038,1,5,1,0,2,4,3,3,2.75,3038.0,0.11323451870011537,Low
98,31,0,True,False,0,0,4424,2,11,11,1,3,4,3,4,3.5,2212.0,0.005239243855557108,Low
100,35,1,True,False,0,0,4312,2,16,15,2,3,1,3,3,2.25,2156.0,0.06908082790910797,Low
101,45,1,False,True,1,0,13245,3,17,0,0,4,1,4,3,2.75,4415.0,0.011195715328828655,Low
102,37,1,True,False,0,0,13664,3,16,5,0,1,3,4,3,2.25,4554.666666666667,0.0169459802638619,Low
103,46,1,False,False,1,0,5021,2,16,4,0,2,2,3,4,2.75,2510.5,0.16040744942665083,Low
104,30,1,False,True,1,0,5126,2,10,10,3,4,4,2,3,3.25,2563.0,0.2406582837320913,Low
105,35,1,True,False,0,0,2859,1,6,6,0,2,3,3,3,2.25,2859.0,0.050305823660429724,Low
106,55,1,False,True,0,0,10239,3,24,1,1,1,4,3,3,3.0,3413.0,0.015858953304891576,Low
107,38,0,False,False,1,0,5329,2,17,13,1,2,4,3,3,3.25,2664.5,0.009419805245097024,Low
110,34,1,False,True,0,0,4325,2,5,5,1,1,2,3,3,2.25,2162.5,0.03444484363806528,Low
112,56,1,True,False,0,0,7260,3,37,6,0,4,4,2,3,2.75,2420.0,0.005556818120412195,Low
113,23,1,False,False,0,0,2322,1,3,0,0,3,1,3,3,2.5,2322.0,0.500061771785225,Medium
116,51,1,False,True,0,0,2075,1,10,4,0,4,4,3,4,3.25,2075.0,0.012666143544150653,Low
117,30,1,False,True,0,0,4152,2,11,11,10,3,4,3,3,2.75,2076.0,0.009529464160940773,Low
118,46,1,True,False,0,1,9619,3,9,9,4,3,4,3,3,3.5,3206.3333333333335,0.042309353745422204,Low
119,40,1,False,True,0,0,13503,4,22,22,11,3,2,2,4,2.75,3375.75,0.06956016531900948,Low
120,51,1,True,False,1,0,5441,2,11,10,1,3,4,1,4,3.0,2720.5,0.3174626494572349,Medium
121,30,0,False,False,1,0,5209,2,11,11,2,3,2,2,3,2.25,2604.5,0.06544976787667103,Low
124,46,1,False,True,1,0,10673,3,21,10,9,3,1,2,3,2.25,3557.6666666666665,0.23116009693758502,Low
125,32,1,True,False,0,0,5010,2,12,11,5,2,3,3,3,2.25,2505.0,0.14141844420039099,Low
126,54,0,False,True,0,0,13549,3,16,4,0,1,3,1,3,1.5,4516.333333333333,0.013122586586232065,Low
128,24,0,False,True,0,0,4999,2,4,3,0,1,3,2,4,1.75,2499.5,0.06686695404108021,Low
129,28,1,False,True,0,0,4221,2,5,5,0,2,3,4,3,2.75,2110.5,0.016577296651052554,Low
131,58,1,True,False,0,0,13872,4,38,37,1,4,3,2,3,3.0,3468.0,0.008569819612033932,Low
132,44,1,False,True,0,0,2042,2,17,3,1,2,2,4,3,2.75,1021.0,0.03573827291518217,Low
133,37,1,False,False,1,1,2073,1,7,3,0,3,1,3,4,2.75,2073.0,0.5343504423350143,Medium
134,32,1,True,False,0,0,2956,1,1,1,0,4,1,3,3,3.0,2956.0,0.06877516455923699,Low
137,20,0,True,False,1,1,2926,1,1,1,1,4,4,3,3,3.25,2926.0,0.7536733620049892,High
138,34,0,True,False,0,0,4809,2,16,16,2,1,3,3,3,2.5,2404.5,0.0071397958607992175,Low
139,37,1,False,False,0,0,5163,2,17,1,0,3,4,4,3,3.75,2581.5,0.0014832329381570253,Low
140,59,0,False,True,0,0,18844,5,30,3,2,3,4,3,4,3.5,3768.8,0.0014222735356721364,Low
141,50,0,False,True,1,0,18172,5,28,8,0,1,2,2,3,1.5,3634.4,0.055702754152291444,Low
142,25,1,True,False,1,1,5744,2,6,6,0,3,3,3,3,3.25,2872.0,0.5906600344626867,Medium
143,25,1,False,True,0,0,2889,1,2,2,2,4,4,3,3,3.5,2889.0,0.016100101156968142,Low
144,22,0,True,False,0,0,2871,1,1,0,0,2,4,3,3,3.0,2871.0,0.3109566318837389,Medium
145,51,0,True,False,0,0,7484,3,23,13,12,1,1,2,4,1.75,2494.6666666666665,0.1541674503925884,Low
147,34,1,True,False,1,1,6074,2,9,9,0,1,3,3,4,2.75,3037.0,0.8051354902734126,High
148,54,0,True,False,1,0,17328,4,23,5,4,4,4,3,3,3.5,4332.0,0.027154166408294614,Low
150,24,1,False,True,0,0,2774,1,6,5,1,2,3,3,3,2.75,2774.0,0.15746900820543916,Low
151,34,0,False,False,0,0,4505,2,12,1,0,3,2,3,3,2.75,2252.5,0.04894952627339341,Low
152,37,1,True,False,0,0,7428,3,12,5,1,3,4,3,3,2.75,2476.0,0.05133576736062397,Low
153,34,0,True,False,0,0,11631,3,14,11,5,3,1,3,3,2.75,3877.0,0.01614993587239424,Low
